543 : [(22, 11), (3, 5), (3, 4), (3, 0), (1, 0), (10, 4), (23, 4), (11, 24), (6, 14), (19, 2), (10, 7), (15, 8), (2, 20), (15, 21), (20, 19), (22, 13), (22, 16), (7, 13), (15, 17), (16, 9), (23, 8), (5, 7), (19, 5), (13, 18), (9, 13), (3, 15), (7, 9), (15, 5), (3, 23), (20, 10)]
561 : [(22, 16), (10, 4), (16, 9), (13, 18), (2, 20), (3, 4), (11, 24), (19, 5), (23, 4), (3, 23), (15, 17), (10, 7), (19, 2), (1, 0), (5, 7), (7, 13), (20, 19), (22, 13), (6, 14), (3, 5), (23, 8), (15, 21), (15, 8), (3, 15), (9, 13), (3, 0), (22, 11), (15, 5), (20, 10), (7, 9)]
539 : [(7, 13), (3, 0), (6, 14), (3, 4), (3, 15), (9, 13), (20, 10), (19, 5), (1, 0), (22, 11), (15, 8), (22, 16), (15, 17), (13, 18), (19, 2), (3, 23), (22, 13), (11, 24), (10, 4), (23, 4), (10, 7), (20, 19), (15, 5), (2, 20), (15, 21), (23, 8), (7, 9), (16, 9), (3, 5), (5, 7)]
553 : [(3, 0), (15, 17), (19, 5), (10, 7), (22, 16), (22, 11), (3, 5), (11, 24), (20, 19), (23, 8), (3, 4), (10, 4), (2, 20), (15, 21), (19, 2), (5, 7), (7, 13), (9, 13), (13, 18), (6, 14), (16, 9), (15, 8), (1, 0), (15, 5), (20, 10), (22, 13), (3, 23), (23, 4), (7, 9), (3, 15)]
551 : [(13, 18), (22, 11), (10, 7), (3, 15), (1, 0), (3, 4), (10, 4), (3, 0), (20, 10), (19, 5), (3, 23), (7, 13), (15, 17), (2, 20), (22, 16), (15, 8), (11, 24), (9, 13), (15, 5), (23, 4), (22, 13), (7, 9), (20, 19), (16, 9), (15, 21), (6, 14), (23, 8), (3, 5), (19, 2), (5, 7)]
549 : [(22, 16), (15, 5), (7, 9), (15, 17), (3, 5), (3, 0), (19, 5), (13, 18), (5, 7), (20, 10), (23, 8), (3, 23), (22, 11), (10, 7), (3, 15), (11, 24), (15, 21), (10, 4), (16, 9), (7, 13), (6, 14), (2, 20), (3, 4), (23, 4), (19, 2), (22, 13), (1, 0), (9, 13), (15, 8), (20, 19)]
547 : [(20, 19), (19, 2), (3, 23), (13, 18), (15, 17), (7, 13), (10, 7), (22, 13), (15, 5), (2, 20), (3, 15), (9, 13), (15, 21), (3, 5), (1, 0), (3, 4), (11, 24), (19, 5), (16, 9), (10, 4), (22, 16), (22, 11), (7, 9), (3, 0), (5, 7), (20, 10), (23, 8), (15, 8), (23, 4), (6, 14)]
551 : [(22, 11), (16, 9), (19, 5), (23, 8), (10, 4), (7, 13), (15, 21), (20, 10), (15, 8), (10, 7), (6, 14), (5, 7), (9, 13), (22, 13), (3, 0), (20, 19), (22, 16), (15, 5), (11, 24), (3, 4), (3, 15), (13, 18), (2, 20), (3, 23), (1, 0), (19, 2), (23, 4), (15, 17), (7, 9), (3, 5)]
547 : [(22, 11), (15, 21), (7, 9), (16, 9), (19, 2), (1, 0), (22, 16), (15, 5), (10, 4), (5, 7), (3, 15), (23, 8), (11, 24), (3, 0), (19, 5), (20, 10), (13, 18), (15, 8), (3, 5), (20, 19), (7, 13), (10, 7), (2, 20), (15, 17), (3, 23), (22, 13), (3, 4), (9, 13), (6, 14), (23, 4)]
545 : [(11, 24), (9, 13), (10, 4), (15, 21), (22, 13), (20, 10), (22, 16), (6, 14), (15, 8), (3, 15), (22, 11), (10, 7), (15, 5), (1, 0), (19, 5), (19, 2), (3, 0), (16, 9), (3, 4), (5, 7), (7, 13), (13, 18), (15, 17), (23, 4), (3, 5), (2, 20), (23, 8), (3, 23), (20, 19), (7, 9)]
563 : [(15, 5), (6, 14), (3, 4), (19, 2), (22, 13), (23, 4), (22, 16), (7, 13), (15, 17), (3, 23), (3, 15), (1, 0), (15, 8), (3, 0), (19, 5), (2, 20), (20, 10), (23, 8), (22, 11), (16, 9), (10, 4), (10, 7), (7, 9), (5, 7), (3, 5), (9, 13), (15, 21), (11, 24), (13, 18), (20, 19)]
561 : [(19, 2), (5, 7), (16, 9), (9, 13), (20, 19), (3, 4), (10, 7), (3, 5), (23, 8), (2, 20), (6, 14), (3, 0), (10, 4), (19, 5), (1, 0), (3, 23), (15, 17), (13, 18), (7, 13), (3, 15), (15, 21), (15, 5), (22, 13), (15, 8), (7, 9), (22, 11), (22, 16), (20, 10), (23, 4), (11, 24)]
543 : [(20, 19), (9, 13), (5, 7), (6, 14), (23, 8), (15, 17), (3, 15), (23, 4), (15, 8), (1, 0), (11, 24), (3, 23), (15, 21), (22, 11), (3, 0), (7, 13), (10, 4), (15, 5), (13, 18), (3, 5), (19, 5), (3, 4), (16, 9), (7, 9), (20, 10), (19, 2), (2, 20), (22, 16), (22, 13), (10, 7)]
